id,bkl_main,bkl_sub,bkl_kategori,bkl_nilai,bkl_catatan,bkl_status,created_by,created_at,updated_by,updated_at
1,role_user,role_user,super_admin,Super Admin,,A,1 | Super Admin 1,3/14/2025 11:30,1 | Super Admin 1,5/9/2025 14:27
2,role_user,role_user,resepsionis,Resepsionis,,A,1 | Super Admin 1,3/14/2025 11:30,1 | Super Admin 1,3/14/2025 13:45
3,role_user,role_user,monitor,Monitor,,A,1 | Super Admin 1,3/14/2025 11:31,1 | Super Admin 1,3/14/2025 13:47
4,instansi,Provinsi Jawa Timur,Sekretariat Daerah,Sekretariat Daerah Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 15:17
5,instansi,Provinsi Jawa Timur,Biro,Biro Administrasi Pemerintahan Umum Dan Otoda Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
6,instansi,Provinsi Jawa Timur,Biro,Biro Administrasi Pembangunan Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
7,instansi,Provinsi Jawa Timur,Biro,Biro Administrasi Kesejahteraan Sosial Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
8,instansi,Provinsi Jawa Timur,Biro,Biro Administrasi Perekonomian Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
9,instansi,Provinsi Jawa Timur,Biro,Biro Administrasi Sumber Daya Alam Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
10,instansi,Provinsi Jawa Timur,Biro,Biro Hukum Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
11,instansi,Provinsi Jawa Timur,Biro,Biro Umum Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
12,instansi,Provinsi Jawa Timur,Biro,Biro Humas Dan Protokol Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
13,instansi,Provinsi Jawa Timur,Biro,Biro Organisasi Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
14,instansi,Provinsi Jawa Timur,Badan,Badan Pengelolaan Keuangan Dan Aset Daerah Provinsi Jawa Timur,,A,1 | Super Admin 1,4/23/2025 8:18,1 | Super Admin 1,4/23/2025 8:18
